2024-07-08 00:40, success, 0.742491
2024-07-08 12:16, success, 0.735079
2024-07-09 00:39, success, 0.467292
2024-07-09 12:16, success, 0.726703
2024-07-10 00:39, success, 0.598800
2024-07-10 12:15, success, 1.406329
2024-07-11 00:39, success, 0.719681
2024-07-11 12:15, success, 0.651212
2024-07-12 00:38, success, 0.481540
2024-07-12 12:16, success, 0.860740
2024-07-13 00:39, success, 0.685320
2024-07-13 12:13, success, 0.613495
2024-07-14 00:43, success, 0.888714
2024-07-14 12:24, success, 0.586545
2024-07-15 00:40, success, 0.634116
2024-07-15 12:16, success, 0.658366
2024-07-16 00:39, success, 0.770317
2024-07-16 12:15, success, 0.613475
2024-07-17 00:40, success, 0.727852
2024-07-17 12:15, success, 0.691921
2024-07-18 00:39, success, 0.519925
2024-07-18 12:16, success, 0.498899
2024-07-19 00:39, success, 0.526257
2024-07-19 12:14, success, 0.678128
2024-07-20 00:38, success, 0.991529
2024-07-20 12:13, success, 0.321179
2024-07-21 00:43, success, 0.265185
2024-07-21 12:14, success, 0.438821
2024-07-22 00:41, success, 0.300573
